Year,Month,Close,Volume,Date
2019,7,330.849882292367,7305420.164008046,2019-07-01
2019,8,317.6889866599445,7561293.659961747,2019-08-01
2019,9,307.8684888108012,7706607.606933508,2019-09-01
2019,10,305.1206976590896,7653926.028878756,2019-10-01
2019,11,310.64847467948516,7475602.820301309,2019-11-01
2019,12,323.02568090126067,7353962.3639857005,2019-12-01
2020,1,339.7021263901325,7427734.079073109,2020-01-01
2020,2,358.77151211834956,7669442.092478748,2020-02-01
2020,3,379.6525531285706,7907581.940997429,2020-03-01
2020,4,402.33377319506354,7971229.9263101835,2020-04-01
2020,5,426.1317758571745,7819966.408650529,2020-05-01
2020,6,449.22540237916564,7526828.303675115,2020-06-01
2020,7,469.2703278859427,7161547.699850071,2020-07-01
2020,8,484.5872306124876,6741405.122228662,2020-08-01
2020,9,495.1384257695386,6280615.302020334,2020-09-01
2020,10,502.5310062455259,5824872.463784157,2020-10-01
2020,11,508.8549073282403,5426600.746028449,2020-11-01
2020,12,515.1164565876912,5106891.894666832,2020-12-01
2021,1,520.539604315776,4845472.851884092,2021-01-01
2021,2,523.4881174229896,4608020.288940569,2021-02-01
2021,3,523.3168946712615,4376048.605502561,2021-03-01
2021,4,521.5731092466665,4145288.1347902613,2021-04-01
2021,5,521.6506707345969,3920430.089235654,2021-05-01
2021,6,527.2295804653795,3727604.7953257994,2021-06-01
2021,7,540.3159365997777,3616440.8285928573,2021-07-01
2021,8,559.4284072097407,3637551.833969905,2021-08-01
2021,9,578.4788481659219,3833838.230720751,2021-09-01
2021,10,587.6453785505064,4266818.303629304,2021-10-01
2021,11,577.3318611120055,5016941.48036555,2021-11-01
2021,12,543.5384921836435,6111613.145574389,2021-12-01
2022,1,490.2570574567759,7466383.5258473875,2022-01-01
2022,2,426.6690454490904,8914820.772436727,2022-02-01
2022,3,362.3553096227056,10241598.768932827,2022-03-01
2022,4,305.11206665509917,11188321.208810166,2022-04-01
2022,5,261.2062436326193,11571579.291542388,2022-05-01
2022,6,234.72483525176727,11467778.39849107,2022-06-01
2022,7,225.78557861544107,11189625.355721083,2022-07-01
2022,8,230.5780884155687,11015815.466632849,2022-08-01
2022,9,243.93138920036387,10960066.971868953,2022-09-01
2022,10,261.6898013486588,10811770.542420851,2022-10-01
2022,11,280.9605558152221,10381223.346169993,2022-11-01
2022,12,299.3011736822879,9672975.429636292,2022-12-01
2023,1,314.79491040444583,8843655.256105028,2023-01-01
2023,2,327.3049705957294,8072371.734435956,2023-02-01
2023,3,339.1789496538374,7484010.511946829,2023-03-01
2023,4,353.610332780425,7117149.45961767,2023-04-01
2023,5,371.4690523015325,6908976.06154407,2023-05-01
2023,6,389.8972108368898,6731231.696589243,2023-06-01
2023,7,404.7430761326427,6479695.167398963,2023-07-01
2023,8,414.78005266525145,6140229.5000449475,2023-08-01
2023,9,423.4336912892371,5767638.070133921,2023-09-01
2023,10,436.3042599992357,5418742.32292222,2023-10-01
2023,11,457.11562223904644,5117148.756952593,2023-11-01
2023,12,485.6911699770494,4849995.746437926,2023-12-01
2024,1,518.6861174741185,4576904.075090953,2024-01-01
2024,2,551.5677009848642,4269510.452442147,2024-02-01
2024,3,580.7083457276489,3950381.5547335427,2024-03-01
2024,4,604.8555993219013,3671483.571844468,2024-04-01
2024,5,625.0973044952514,3464283.9221256487,2024-05-01
2024,6,643.8151664526999,3326930.870987184,2024-06-01
2024,7,664.1764439526835,3244607.779213543,2024-07-01
2024,8,690.1014323365108,3207464.7934790906,2024-08-01
2024,9,725.0430464111669,3216369.906160148,2024-09-01
2024,10,769.5422539182748,3282085.8879804797,2024-10-01
