model_name,train_rmse,train_mae,train_r2,val_rmse,val_mae,val_r2,smoothing,n_lags,reduction_method,n_features_reduced,n_features_original
LR_CFS_raw_3lags,36.109728648491355,19.906542572396454,0.9667828269108653,126.87354736063735,85.70271518184306,0.226760598289117,raw,3,CFS,4,6
LR_CFS_raw_6lags,36.03667863286869,20.223723988472297,0.9668854787534306,127.05352568334611,86.23432772411988,0.22456526219764184,raw,6,CFS,7,12
LR_PCA_sigma1_6lags,44.75607936433754,31.735297199103012,0.9477367799317332,131.19973992493004,117.88685648427308,-0.4258187732452361,sigma1,6,PCA,3,12
LR_PCA_raw_3lags,50.78452602632018,31.254780950764978,0.9342982364660423,148.0121999584338,104.27596535712918,-0.052366071663668246,raw,3,PCA,3,6
LR_PCA_sigma2_12lags,55.77656379148365,42.62887201460835,0.9164836482805346,152.18043213373664,139.29870277240892,-2.4780157715112727,sigma2,12,PCA,3,24
LR_PCA_sigma1_9lags,55.65316624006666,40.37748358407971,0.9190677835300326,160.33287042526254,148.65331927186975,-1.1293326622404019,sigma1,9,PCA,3,18
LR_PCA_raw_12lags,53.26123290357757,35.3821883499402,0.9275239570343751,163.0536647882442,121.81523606095256,-0.27712362656673406,raw,12,PCA,8,24
LR_PCA_raw_6lags,56.733538390643226,37.88341665253907,0.9179254125487425,171.62963836210562,128.72133796880414,-0.414999822072013,raw,6,PCA,5,12
LR_PCA_sigma1_12lags,64.79144731434023,48.70430592698281,0.8901958876276687,185.24497934133598,174.85369630332295,-1.842439781724274,sigma1,12,PCA,4,24
LR_PCA_raw_9lags,61.42607782807977,43.8257589363238,0.9036692682641585,189.503802210337,153.61444564438258,-0.7250737498866415,raw,9,PCA,6,18
